,Freq,,Freq,,Freq,,Freq,,Freq,,Freq,,
world_NN,27,bed_NN,8,then_RB,7,do_VVD,5,begin_VVD,4,matter_NN,4,,
training_NN,19,bell_NN,8,circus_NN,6,end_NN,5,circus_NNS,4,never_RB,4,,
day_NN,17,do_VV,8,ever_RB,6,here_RB,5,crew_NN,4,no_RB,4,,
change_VV,16,do_VVP,8,find_VV,6,long_JJ,5,crew_NNS,4,other_JJ,4,,
n't_RB,14,everyone_NN,8,hour_NNS,6,man_NNS,5,Diego_NP,4,paddle_VV,4,,
not_RB,14,get_VV,8,make_VV,6,Navy_NP,5,down_RB,4,physical_JJ,4,,
boat_NN,11,little_JJ,8,more_JJR,6,person_NN,5,fact_NN,4,quit_VV,4,,
class_NN,10,seal_NN,8,rope_NN,6,remember_VVP,5,fail_VV,4,SEAL_JJ,4,,
just_RB,10,away_RB,7,thing_NNS,6,ring_VV,5,first_JJ,4,seem_VVD,4,,
mud_NN,10,instructor_NNS,7,well_RB,6,save_VVN,5,forward_RB,4,shark_NNS,4,,
student_NNS,10,life_NNS,7,also_RB,5,student_NN,5,great_JJ,4,swim_NN,4,,
want_VVP,10,obstacle_NN,7,American_NP,5,task_NN,5,help_VV,4,swim_NNS,4,,
life_NN,9,San_NP,7,basic_JJ,5,time_NNS,5,light_NN,4,way_NN,4,,
people_NNS,9,ship_NN,7,cold_JJ,5,uniform_NN,5,list_NN,4,well_RBR,4,,
time_NN,9,so_RB,7,course_NN,5,week_NN,5,longer_RBR,4,year_NNS,4,,
